Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
Bulgaria,petroleum_n_other_liquids,1988,0.6046686,0.009467333,91.721,8982.745,159.8200392,15.65206068,44.0
Bulgaria,nuclear,1988,0.166267642,0.166267642,91.721,8982.745,159.8200392,15.65206068,0.0
Bulgaria,renewables_n_other,1988,0.047015905,0.026522356,91.721,8982.745,159.8200392,15.65206068,0.0
Burkina Faso,all_energy_types,1988,0.007541693,0.0,7.94388,8356.31,0.902514734,0.949371453,0.5
Burkina Faso,coal,1988,0.0,0.0,7.94388,8356.31,0.902514734,0.949371453,0.0
Burkina Faso,natural_gas,1988,0.0,0.0,7.94388,8356.31,0.902514734,0.949371453,0.0
Burkina Faso,petroleum_n_other_liquids,1988,0.007541693,0.0,7.94388,8356.31,0.902514734,0.949371453,0.5
Burkina Faso,nuclear,1988,0.0,0.0,7.94388,8356.31,0.902514734,0.949371453,0.0
Burkina Faso,renewables_n_other,1988,0.0,0.0,7.94388,8356.31,0.902514734,0.949371453,0.0
Burma,all_energy_types,1988,0.085188737,0.079629728,26.3547,40085.6,2.125170572,3.232392608,4.829239803
Burma,coal,1988,0.001645488,0.001573413,26.3547,40085.6,2.125170572,3.232392608,0.207226603
Burma,natural_gas,1988,0.038739,0.038739,26.3547,40085.6,2.125170572,3.232392608,2.2220132
Burma,petroleum_n_other_liquids,1988,0.034963577,0.029757291,26.3547,40085.6,2.125170572,3.232392608,2.4
Burma,nuclear,1988,0.0,0.0,26.3547,40085.6,2.125170572,3.232392608,0.0
Burma,renewables_n_other,1988,0.009840672,0.009560024,26.3547,40085.6,2.125170572,3.232392608,0.0
Burundi,all_energy_types,1988,0.004643764,0.001063372,5.51854,5168.7,0.898439496,0.841484201,0.2
Burundi,coal,1988,0.0,0.0,5.51854,5168.7,0.898439496,0.841484201,0.0
Burundi,natural_gas,1988,0.0,0.0,5.51854,5168.7,0.898439496,0.841484201,0.0
Burundi,petroleum_n_other_liquids,1988,0.003539448,0.0,5.51854,5168.7,0.898439496,0.841484201,0.2
Burundi,nuclear,1988,0.0,0.0,5.51854,5168.7,0.898439496,0.841484201,0.0
Burundi,renewables_n_other,1988,0.001104316,0.001063372,5.51854,5168.7,0.898439496,0.841484201,0.0
Cabo Verde,all_energy_types,1988,0.000962817,0.0,0.858361,325.744,2.955747075,1.121692243,0.05748
Cabo Verde,coal,1988,0.0,0.0,0.858361,325.744,2.955747075,1.121692243,0.0
Cabo Verde,natural_gas,1988,0.0,0.0,0.858361,325.744,2.955747075,1.121692243,0.0
Cabo Verde,petroleum_n_other_liquids,1988,0.000962817,0.0,0.858361,325.744,2.955747075,1.121692243,0.05748
Cabo Verde,nuclear,1988,0.0,0.0,0.858361,325.744,2.955747075,1.121692243,0.0
Cabo Verde,renewables_n_other,1988,0.0,0.0,0.858361,325.744,2.955747075,1.121692243,0.0
Cambodia,all_energy_types,1988,0.006855393,0.0005162,13.9063,8435.91,0.812644184,0.492970323,0.5
Cambodia,coal,1988,0.0,0.0,13.9063,8435.91,0.812644184,0.492970323,0.0
Cambodia,natural_gas,1988,0.0,0.0,13.9063,8435.91,0.812644184,0.492970323,0.0
Cambodia,petroleum_n_other_liquids,1988,0.006339193,0.0,13.9063,8435.91,0.812644184,0.492970323,0.5
Cambodia,nuclear,1988,0.0,0.0,13.9063,8435.91,0.812644184,0.492970323,0.0
Cambodia,renewables_n_other,1988,0.0005162,0.0005162,13.9063,8435.91,0.812644184,0.492970323,0.0
Cameroon,all_energy_types,1988,0.06636028,0.380541942,38.8249,11075.4,5.991682504,1.709219609,2.8
Cameroon,coal,1988,0.0,0.0,38.8249,11075.4,5.991682504,1.709219609,0.0
Cameroon,natural_gas,1988,0.0,0.0,38.8249,11075.4,5.991682504,1.709219609,0.0
Cameroon,petroleum_n_other_liquids,1988,0.040663844,0.354845506,38.8249,11075.4,5.991682504,1.709219609,2.8
Cameroon,nuclear,1988,0.0,0.0,38.8249,11075.4,5.991682504,1.709219609,0.0
Cameroon,renewables_n_other,1988,0.025696436,0.025696436,38.8249,11075.4,5.991682504,1.709219609,0.0
Canada,all_energy_types,1988,10.77728195,13.18221239,877.788,26791.78,402.2607661,12.27777316,422.6892168
Canada,coal,1988,1.097762018,1.495305635,877.788,26791.78,402.2607661,12.27777316,97.99176457
Canada,natural_gas,1988,2.370627,3.634758,877.788,26791.78,402.2607661,12.27777316,113.7365152
Canada,petroleum_n_other_liquids,1988,3.33580465,3.991847688,877.788,26791.78,402.2607661,12.27777316,210.960937
Canada,nuclear,1988,0.9029328,0.9029328,877.788,26791.78,402.2607661,12.27777316,0.0
Canada,renewables_n_other,1988,3.070155479,3.157368272,877.788,26791.78,402.2607661,12.27777316,0.0
Cayman Islands,all_energy_types,1988,0.003908296,0.0,1.23595,22.775,171.6046386,3.162179412,0.1
Cayman Islands,coal,1988,0.0,0.0,1.23595,22.775,171.6046386,3.162179412,0.0
Cayman Islands,natural_gas,1988,0.0,0.0,1.23595,22.775,171.6046386,3.162179412,0.0
Cayman Islands,petroleum_n_other_liquids,1988,0.003908296,0.0,1.23595,22.775,171.6046386,3.162179412,0.1
Cayman Islands,nuclear,1988,0.0,0.0,1.23595,22.775,171.6046386,3.162179412,0.0
Cayman Islands,renewables_n_other,1988,0.0,0.0,1.23595,22.775,171.6046386,3.162179412,0.0
Central African Republic,all_energy_types,1988,0.003979347,0.000763976,0.0,2693.97,1.477130967,0.0,0.2
Central African Republic,coal,1988,0.0,0.0,0.0,2693.97,1.477130967,0.0,0.0
Central African Republic,natural_gas,1988,0.0,0.0,0.0,2693.97,1.477130967,0.0,0.0
Central African Republic,petroleum_n_other_liquids,1988,0.003215371,0.0,0.0,2693.97,1.477130967,0.0,0.2
Central African Republic,nuclear,1988,0.0,0.0,0.0,2693.97,1.477130967,0.0,0.0
Central African Republic,renewables_n_other,1988,0.000763976,0.000763976,0.0,2693.97,1.477130967,0.0,0.0
Chad,all_energy_types,1988,0.002107094,0.0,5.80509,5589.62,0.37696551,0.36297352,0.2
Chad,coal,1988,0.0,0.0,5.80509,5589.62,0.37696551,0.36297352,0.0
Chad,natural_gas,1988,0.0,0.0,5.80509,5589.62,0.37696551,0.36297352,0.0
Chad,petroleum_n_other_liquids,1988,0.002107094,0.0,5.80509,5589.62,0.37696551,0.36297352,0.2
Chad,nuclear,1988,0.0,0.0,5.80509,5589.62,0.37696551,0.36297352,0.0
Chad,renewables_n_other,1988,0.0,0.0,5.80509,5589.62,0.37696551,0.36297352,0.0
Chile,all_energy_types,1988,0.449237266,0.255205187,102.332,12791.2,35.12080694,4.389997907,19.93935435
Chile,coal,1988,0.048233374,0.034267997,102.332,12791.2,35.12080694,4.389997907,3.492362016
Chile,natural_gas,1988,0.035,0.035,102.332,12791.2,35.12080694,4.389997907,1.379473333
Chile,petroleum_n_other_liquids,1988,0.242151821,0.06550773,102.332,12791.2,35.12080694,4.389997907,15.067519
Chile,nuclear,1988,0.0,0.0,102.332,12791.2,35.12080694,4.389997907,0.0
Chile,renewables_n_other,1988,0.123852071,0.12042946,102.332,12791.2,35.12080694,4.389997907,0.0
China,all_energy_types,1988,28.16901541,29.37804595,1535.574,1140450.0,24.69991267,18.34429041,2259.808112
China,coal,1988,21.59574443,21.82294876,1535.574,1140450.0,24.69991267,18.34429041,1916.64041
China,natural_gas,1988,0.578953,0.565141,1535.574,1140450.0,24.69991267,18.34429041,30.16770233
China,petroleum_n_other_liquids,1988,4.901685012,5.874871275,1535.574,1140450.0,24.69991267,18.34429041,313.0
China,nuclear,1988,0.0,0.0,1535.574,1140450.0,24.69991267,18.34429041,0.0
China,renewables_n_other,1988,1.092632968,1.115084916,1535.574,1140450.0,24.69991267,18.34429041,0.0
Colombia,all_energy_types,1988,0.897020679,1.609075914,240.291,31822.5,28.18825293,3.733059827,41.74146621
Colombia,coal,1988,0.113238709,0.37911625,240.291,31822.5,28.18825293,3.733059827,10.83299011
Colombia,natural_gas,1988,0.135634,0.135634,240.291,31822.5,28.18825293,3.733059827,6.900550067
Colombia,petroleum_n_other_liquids,1988,0.394836408,0.838083984,240.291,31822.5,28.18825293,3.733059827,24.00792603
Colombia,nuclear,1988,0.0,0.0,240.291,31822.5,28.18825293,3.733059827,0.0
Colombia,renewables_n_other,1988,0.253311562,0.25624168,240.291,31822.5,28.18825293,3.733059827,0.0
Comoros,all_energy_types,1988,0.000770022,2.06e-05,1.13406,387.964,1.984776235,0.67899558,0.05033
Comoros,coal,1988,0.0,0.0,1.13406,387.964,1.984776235,0.67899558,0.0
Comoros,natural_gas,1988,0.0,0.0,1.13406,387.964,1.984776235,0.67899558,0.0
Comoros,petroleum_n_other_liquids,1988,0.000749374,0.0,1.13406,387.964,1.984776235,0.67899558,0.05033
Comoros,nuclear,1988,0.0,0.0,1.13406,387.964,1.984776235,0.67899558,0.0
Comoros,renewables_n_other,1988,2.06e-05,2.06e-05,1.13406,387.964,1.984776235,0.67899558,0.0
Congo-Brazzaville,all_energy_types,1988,0.014957811,0.307581997,9.89813,2231.46,6.703149983,1.51117545,1.01110066
Congo-Brazzaville,coal,1988,0.0,0.0,9.89813,2231.46,6.703149983,1.51117545,0.0
Congo-Brazzaville,natural_gas,1988,0.0,0.0,9.89813,2231.46,6.703149983,1.51117545,0.11110066
Congo-Brazzaville,petroleum_n_other_liquids,1988,0.011496759,0.304629333,9.89813,2231.46,6.703149983,1.51117545,0.9
Congo-Brazzaville,nuclear,1988,0.0,0.0,9.89813,2231.46,6.703149983,1.51117545,0.0
Congo-Brazzaville,renewables_n_other,1988,0.003461052,0.002952664,9.89813,2231.46,6.703149983,1.51117545,0.0
Congo-Kinshasa,all_energy_types,1988,0.107311839,0.121359608,58.035,32443.8,3.307622383,1.849088293,3.394459823
Congo-Kinshasa,coal,1988,0.003205129,0.003166104,58.035,32443.8,3.307622383,1.849088293,0.594459823
Congo-Kinshasa,natural_gas,1988,0.0,0.0,58.035,32443.8,3.307622383,1.849088293,0.0
Congo-Kinshasa,petroleum_n_other_liquids,1988,0.048168955,0.06455,58.035,32443.8,3.307622383,1.849088293,2.8
Congo-Kinshasa,nuclear,1988,0.0,0.0,58.035,32443.8,3.307622383,1.849088293,0.0
